hire_ref;booked_on;depot;region;asset_ref;asset_name;hire_days;day_rate_gbp;account_ref;status;delivered
H105495;24/04/2023;Leeds Depot;North;GEN-60;60kVA Generator;1;99.49;ACC0145;completed;Y
H105496;30/07/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;7;77.62;ACC0200;completed;Y
H105497;13/07/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;3;63.31;ACC0134;completed;Y
H105498;10/01/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;2;22.3;;completed;Y
H105499;13/04/2023;Leeds Depot;North;PB-15;Powered Barrow;14;41.84;ACC0044;completed;Y
H105500;02/04/2023;Norwich Depot;East;EX-140;13T Excavator;3;307.23;ACC0005;completed;Y
H105501;15/06/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;-3;22.95;ACC0158;cancelled;Y
H105502;29/06/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;5;100.54;ACC0006;completed;Y
H105503;07/08/2023;Leeds Depot;North;WP-02;Water Pump 2in;2;23.74;ACC0169;completed;Y
H105504;28/03/2024;Norwich Depot;East;SC-22;Scissor Lift 22ft;28;80.65;;completed;Y
H105505;31/05/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;5;33.78;ACC0045;completed;Y
H105506;24/04/2024;Cardiff Depot;Wales;EX-140;13T Excavator;2;310.58;ACC0083;completed;N
H105507;14/09/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;7;79.85;ACC0127;completed;Y
H105508;26/11/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;3;35.28;;completed;Y
H105509;24/01/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;-2;33.67;ACC0246;cancelled;Y
H105510;30/08/2024;Norwich Depot;East;WP-02;Water Pump 2in;3;21.63;ACC0036;completed;N
H105511;22/04/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;5;32.99;ACC0120;completed;N
H105512;29/02/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;1;40.68;;completed;Y
H105513;24/12/2023;Norwich Depot;East;GEN-60;60kVA Generator;2;99.12;ACC0167;completed;Y
H105514;18/08/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;2;31.74;;completed;Y
H105515;26/08/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;36.46;ACC0013;completed;N
H105516;10/11/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;3;31.34;;completed;Y
H105517;06/05/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;84.62;ACC0068;completed;Y
H105518;21/02/2024;Leeds Depot;North;GEN-60;60kVA Generator;3;93.32;ACC0128;completed;Y
H105519;13/01/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;7;80.7;ACC0170;completed;Y
H105520;05/01/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;2;33.06;ACC0087;completed;Y
H105521;17/01/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;14;37.84;ACC0069;completed;Y
H105522;15/07/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;7;20.89;ACC0257;completed;N
H105523;17/08/2024;Norwich Depot;East;SF-TOW;Site Tower Light;3;49.94;ACC0191;completed;Y
H105524;26/11/2023;Cardiff Depot;Wales;PB-15;Powered Barrow;5;39.71;ACC0217;completed;Y
H105525;27/07/2023;Glasgow Depot;Scotland;GEN-60;60kVA Generator;5;102.17;ACC0197;completed;Y
H105526;06/04/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;5;23.54;ACC0256;open;Y
H105527;14/02/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;40.27;ACC0231;completed;N
H105528;04/07/2024;Norwich Depot;East;DM-09;Diesel Dumper 9T;1;152.96;ACC0002;open;Y
H105529;26/09/2024;Norwich Depot;East;WP-02;Water Pump 2in;2;22.32;ACC0102;open;Y
H105530;01/09/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;23.5;ACC0094;completed;Y
H105531;11/04/2024;Leeds Depot;North;WP-02;Water Pump 2in;1;22.88;ACC0045;completed;N
H105532;22/05/2023;Norwich Depot;East;TL-01;Telehandler 4m;2;179.46;ACC0182;completed;N
H105533;01/11/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;35.45;ACC0056;open;Y
H105534;17/09/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;7;53.8;ACC0104;completed;Y
H105535;14/07/2023;Glasgow Depot;Scotland;GEN-60;60kVA Generator;1;99.19;ACC0112;completed;Y
H105536;14/05/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;7;147.67;;completed;N
H105537;09/10/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;75.52;ACC0220;completed;Y
H105538;04/10/2024;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;80.23;ACC0221;completed;Y
H105539;16/12/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;2;24.13;ACC0179;completed;Y
H105540;20/09/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;2;35.15;ACC0060;completed;Y
H105541;23/01/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;3;35.74;ACC0095;completed;Y
H105542;09/12/2024;Bristol Depot;South West;GEN-60;60kVA Generator;2;96.12;ACC0245;completed;Y
H105543;15/05/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;5;83.63;ACC0242;completed;Y
H105544;16/06/2023;Cardiff Depot;Wales;EX-140;13T Excavator;1;329.52;ACC0197;completed;Y
H105545;25/05/2023;Cardiff Depot;Wales;EX-140;13T Excavator;14;309.15;ACC0194;completed;Y
H105546;26/06/2024;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;83.08;ACC0231;completed;Y
H105547;06/12/2024;Norwich Depot;East;HD-BRK;Hydraulic Breaker;1;65.36;;open;Y
H105548;29/07/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;41.26;ACC0213;completed;Y
H105549;08/11/2023;Bristol Depot;South West;TL-01;Telehandler 4m;5;200.01;ACC0010;completed;Y
H105550;06/08/2024;Norwich Depot;East;PB-15;Powered Barrow;2;42.35;ACC0041;completed;Y
H105551;25/09/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;3;24.29;;completed;Y
H105552;28/07/2023;Leeds Depot;North;GEN-60;60kVA Generator;2;88.67;ACC0239;completed;Y
H105553;25/07/2023;Bristol Depot;South West;GEN-60;60kVA Generator;1;89.36;ACC0004;completed;Y
H105554;09/05/2023;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;1;62.62;ACC0064;completed;Y
H105555;09/03/2024;Leeds Depot;North;EX-140;13T Excavator;5;316.12;ACC0151;open;N
H105556;26/06/2023;Norwich Depot;East;PB-15;Powered Barrow;3;38.94;ACC0163;completed;Y
H105557;13/09/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;3;140.59;ACC0106;completed;N
H105558;12/11/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;14;80.18;ACC0217;completed;Y
H105559;12/02/2024;Norwich Depot;East;PB-15;Powered Barrow;1;39.26;ACC0166;completed;N
H105560;05/02/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;3;180.79;ACC0151;completed;Y
H105561;10/06/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;5;33.42;;completed;Y
H105562;02/09/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;5;23.1;ACC0214;completed;Y
H105563;08/06/2024;Glasgow Depot;Scotland;EX-140;13T Excavator;1;296.6;ACC0146;completed;N
H105564;02/08/2024;Bristol Depot;South West;PB-15;Powered Barrow;7;39.23;ACC0157;completed;N
H105565;10/07/2023;Bristol Depot;South West;PB-15;Powered Barrow;2;43.39;ACC0067;completed;Y
H105566;25/11/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;2;142.33;ACC0198;completed;Y
H105567;10/09/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;1;73.74;ACC0240;completed;Y
H105568;08/07/2024;Norwich Depot;East;WP-02;Water Pump 2in;1;21.99;ACC0225;completed;Y
H105569;09/05/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;73.66;ACC0032;completed;N
H105570;17/08/2023;Norwich Depot;East;WP-02;Water Pump 2in;1;22.39;ACC0227;completed;Y
H105571;26/09/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;1;22.93;;completed;Y
H105572;26/03/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;7;98.07;ACC0213;completed;Y
H105573;18/12/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;7;22.63;ACC0097;completed;Y
H105574;27/10/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;43.99;ACC0231;completed;Y
H105575;01/11/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;36.4;ACC0110;completed;N
H105576;20/07/2023;Leeds Depot;North;PB-15;Powered Barrow;1;41.08;ACC0024;completed;N
H105577;03/05/2024;Norwich Depot;East;SF-TOW;Site Tower Light;7;54.9;ACC0222;completed;Y
H105578;22/08/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;5;35.18;ACC0011;completed;Y
H105579;28/03/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;3;145.28;ACC0090;completed;Y
H105580;20/06/2024;Bristol Depot;South West;WP-02;Water Pump 2in;1;23.63;ACC0250;completed;Y
H105581;02/07/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;7;77.29;ACC0191;completed;N
H105582;01/07/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;28;52.87;ACC0143;completed;Y
H105583;01/04/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;3;82.88;ACC0128;completed;Y
H105584;16/01/2024;Norwich Depot;East;WP-02;Water Pump 2in;7;21.75;ACC0105;completed;Y
H105585;30/06/2023;Leeds Depot;North;SF-TOW;Site Tower Light;5;53.56;ACC0139;completed;N
H105586;16/08/2024;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;14;135.58;ACC0252;completed;N
H105587;17/07/2024;Cardiff Depot;Wales;EX-140;13T Excavator;1;332.18;ACC0223;completed;N
H105588;18/12/2023;Norwich Depot;East;SF-TOW;Site Tower Light;5;51.97;ACC0239;open;N
H105589;15/05/2023;Glasgow Depot;Scotland;GEN-60;60kVA Generator;14;91.29;;completed;N
H105590;26/07/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;2;56.15;ACC0003;completed;Y
H105591;13/11/2024;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;3;152.86;ACC0181;completed;Y
H105592;31/08/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;3;60.42;ACC0205;completed;N
H105593;17/11/2023;Norwich Depot;East;TL-01;Telehandler 4m;3;178.68;ACC0121;completed;N
H105594;11/11/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;3;32.7;ACC0037;completed;Y
H105595;14/07/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;7;79.81;ACC0218;completed;Y
H105596;25/05/2023;Cardiff Depot;Wales;EX-140;13T Excavator;2;295.8;ACC0124;completed;Y
H105597;01/03/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;3;66.42;ACC0158;completed;Y
H105598;24/09/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;78.92;;completed;Y
H105599;17/04/2024;Norwich Depot;East;TL-01;Telehandler 4m;2;177.35;ACC0246;completed;Y
H105600;22/03/2024;Glasgow Depot;Scotland;PB-15;Powered Barrow;28;39.12;ACC0124;completed;Y
H105601;19/09/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;1;48.0;;completed;Y
H105602;13/05/2023;Norwich Depot;East;WP-02;Water Pump 2in;3;24.3;;completed;Y
H105603;13/08/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;14;44.27;ACC0044;completed;Y
H105604;06/11/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;5;81.75;ACC0225;completed;Y
H105605;09/05/2023;Norwich Depot;East;WP-02;Water Pump 2in;3;24.04;ACC0175;completed;Y
H105606;16/02/2024;Cardiff Depot;Wales;TL-01;Telehandler 4m;1;177.38;ACC0088;completed;N
H105607;25/10/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;7;33.32;ACC0022;completed;Y
H105608;27/06/2023;Norwich Depot;East;TL-01;Telehandler 4m;28;190.84;;completed;Y
H105609;18/01/2024;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;68.92;ACC0149;completed;Y
H105610;31/08/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;1;35.55;ACC0132;completed;N
H105611;02/04/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;3;152.18;ACC0059;completed;Y
H105612;29/11/2024;Leeds Depot;North;EX-140;13T Excavator;1;290.65;ACC0217;completed;Y
H105613;18/07/2024;Leeds Depot;North;WP-02;Water Pump 2in;3;23.52;ACC0251;completed;Y
H105614;20/02/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;3;36.5;ACC0079;completed;N
H105615;01/05/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;76.23;ACC0216;completed;N
H105616;27/12/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;-3;75.73;ACC0154;cancelled;Y
H105617;17/10/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;3;73.95;ACC0210;completed;Y
H105618;07/11/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;1;148.44;;completed;Y
H105619;01/04/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;79.28;ACC0015;completed;N
H105620;07/08/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;52.16;ACC0053;completed;Y
H105621;20/08/2023;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;2;149.7;ACC0162;completed;N
H105622;13/07/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;83.83;;completed;Y
H105623;13/11/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;14;33.51;ACC0041;open;Y
H105624;20/08/2024;Cardiff Depot;Wales;EX-140;13T Excavator;5;300.35;ACC0005;completed;Y
H105625;07/12/2024;Norwich Depot;East;CM-350;Concrete Mixer 350L;7;35.15;ACC0131;completed;Y
H105626;20/05/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;-1;23.15;ACC0019;cancelled;N
H105627;12/06/2024;Bristol Depot;South West;GEN-60;60kVA Generator;2;95.7;ACC0044;completed;Y
H105628;10/06/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;2;151.19;ACC0255;completed;Y
H105629;09/07/2023;Cardiff Depot;Wales;TL-01;Telehandler 4m;3;174.69;ACC0107;completed;Y
H105630;04/10/2024;Norwich Depot;East;GEN-60;60kVA Generator;14;91.43;ACC0095;completed;N
H105631;09/06/2023;Bristol Depot;South West;CM-350;Concrete Mixer 350L;7;32.02;ACC0145;completed;Y
H105632;14/04/2024;Norwich Depot;East;WP-02;Water Pump 2in;3;21.16;ACC0107;completed;Y
H105633;27/08/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;14;32.66;ACC0138;open;Y
H105634;06/05/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;5;153.37;ACC0249;completed;Y
H105635;11/12/2024;Bristol Depot;South West;TL-01;Telehandler 4m;1;183.56;;completed;Y
H105636;13/04/2023;Bristol Depot;South West;DM-09;Diesel Dumper 9T;7;136.23;ACC0135;completed;Y
H105637;22/08/2023;Norwich Depot;East;WP-02;Water Pump 2in;1;23.76;;completed;N
H105638;24/11/2023;Leeds Depot;North;WP-02;Water Pump 2in;1;21.79;ACC0093;completed;Y
H105639;15/07/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;3;52.8;;open;N
H105640;31/05/2024;Bristol Depot;South West;WP-02;Water Pump 2in;14;21.3;ACC0184;completed;Y
H105641;30/06/2024;Bristol Depot;South West;EX-140;13T Excavator;2;324.15;ACC0034;completed;Y
H105642;04/09/2023;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;28;78.92;ACC0225;completed;Y
H105643;16/06/2023;Leeds Depot;North;EX-140;13T Excavator;7;287.85;ACC0027;completed;N
H105644;16/07/2024;Glasgow Depot;Scotland;GEN-60;60kVA Generator;7;102.75;ACC0071;completed;Y
H105645;08/07/2023;Norwich Depot;East;DM-09;Diesel Dumper 9T;2;144.49;ACC0115;completed;Y
H105646;20/12/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;7;33.02;;completed;Y
H105647;17/05/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;1;63.25;ACC0198;completed;Y
H105648;30/04/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;1;138.79;;completed;Y
H105649;09/07/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;-28;35.99;ACC0125;cancelled;Y
H105650;08/08/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;3;35.93;ACC0245;completed;Y
H105651;05/01/2024;Cardiff Depot;Wales;WP-02;Water Pump 2in;-3;23.1;ACC0218;cancelled;Y
H105652;02/01/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;2;44.12;ACC0174;completed;Y
H105653;08/10/2023;Cardiff Depot;Wales;DM-09;Diesel Dumper 9T;1;141.39;ACC0255;completed;Y
H105654;07/06/2023;Glasgow Depot;Scotland;DM-09;Diesel Dumper 9T;3;146.84;ACC0230;completed;Y
H105655;03/06/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;7;140.01;ACC0109;completed;N
H105656;03/11/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;1;76.39;ACC0021;completed;Y
H105657;09/09/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;3;82.29;ACC0059;completed;Y
H105658;01/01/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;59.84;ACC0114;completed;Y
H105659;15/06/2024;Norwich Depot;East;EX-140;13T Excavator;3;310.92;ACC0233;completed;N
H105660;13/05/2024;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;14;35.77;ACC0024;completed;N
H105661;04/06/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;88.74;ACC0140;completed;Y
H105662;25/07/2023;Leeds Depot;North;GEN-60;60kVA Generator;2;91.32;ACC0128;completed;Y
H105663;06/08/2024;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;3;62.08;ACC0248;completed;Y
H105664;05/08/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;74.56;ACC0230;completed;Y
H105665;03/08/2023;Glasgow Depot;Scotland;HD-BRK;Hydraulic Breaker;1;66.76;ACC0189;completed;Y
H105666;23/07/2023;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;5;75.52;ACC0255;completed;N
H105667;26/06/2024;Cardiff Depot;Wales;PB-15;Powered Barrow;2;44.17;ACC0242;completed;N
H105668;28/12/2024;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;80.5;ACC0037;completed;Y
H105669;08/11/2023;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;2;31.55;ACC0058;completed;Y
H105670;04/04/2024;Glasgow Depot;Scotland;TL-01;Telehandler 4m;1;175.28;ACC0205;completed;Y
H105671;30/10/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;1;31.96;ACC0102;completed;N
H105672;08/08/2023;Bristol Depot;South West;SF-TOW;Site Tower Light;1;49.98;ACC0230;open;Y
H105673;04/12/2023;Leeds Depot;North;GEN-60;60kVA Generator;2;100.15;ACC0201;completed;Y
H105674;06/10/2024;Bristol Depot;South West;SF-TOW;Site Tower Light;2;56.01;ACC0132;completed;N
H105675;30/09/2024;Norwich Depot;East;TL-01;Telehandler 4m;-1;201.5;ACC0069;cancelled;Y
H105676;18/06/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;2;66.11;ACC0237;completed;Y
H105677;15/01/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;7;76.33;;completed;Y
H105678;15/09/2024;Bristol Depot;South West;WP-02;Water Pump 2in;5;22.56;ACC0055;completed;Y
H105679;11/10/2024;Norwich Depot;East;GEN-60;60kVA Generator;5;100.19;ACC0066;completed;Y
H105680;25/04/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;-2;79.66;ACC0007;cancelled;Y
H105681;23/04/2024;Cardiff Depot;Wales;HD-BRK;Hydraulic Breaker;1;60.84;;completed;N
H105682;05/05/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;3;20.98;;completed;Y
H105683;25/02/2024;Norwich Depot;East;HD-BRK;Hydraulic Breaker;1;64.05;ACC0243;completed;Y
H105684;09/10/2024;Cardiff Depot;Wales;SF-TOW;Site Tower Light;5;50.18;ACC0124;completed;Y
H105685;25/05/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;1;307.69;ACC0163;completed;Y
H105686;08/09/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;55.38;ACC0251;completed;N
H105687;12/04/2023;Leeds Depot;North;DM-09;Diesel Dumper 9T;7;149.15;ACC0128;completed;N
H105688;03/07/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;34.54;ACC0131;completed;Y
H105689;01/01/2024;Leeds Depot;North;TL-01;Telehandler 4m;2;189.32;;completed;Y
H105690;15/06/2024;Leeds Depot;North;GEN-60;60kVA Generator;2;91.04;;completed;Y
H105691;12/06/2024;Leeds Depot;North;WP-02;Water Pump 2in;1;20.81;ACC0088;completed;Y
H105692;18/07/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;23.29;ACC0147;completed;Y
H105693;16/05/2024;Norwich Depot;East;HD-BRK;Hydraulic Breaker;2;67.59;ACC0226;completed;Y
H105694;02/12/2024;Bristol Depot;South West;EX-140;13T Excavator;7;334.03;ACC0128;completed;Y
H105695;16/08/2024;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;63.69;ACC0250;completed;Y
H105696;16/11/2023;Leeds Depot;North;SC-22;Scissor Lift 22ft;1;74.32;ACC0032;completed;Y
H105697;28/04/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;28;35.84;ACC0225;completed;Y
H105698;08/12/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;36.5;;completed;Y
H105699;07/02/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;3;31.87;ACC0052;completed;Y
H105700;17/06/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;-7;66.5;ACC0217;cancelled;Y
H105701;13/02/2024;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;31.9;ACC0222;completed;Y
H105702;23/07/2024;Glasgow Depot;Scotland;TL-01;Telehandler 4m;2;188.81;ACC0055;completed;N
H105703;17/09/2023;Cardiff Depot;Wales;WP-02;Water Pump 2in;-14;21.92;ACC0031;cancelled;Y
H105704;05/04/2023;Norwich Depot;East;PB-15;Powered Barrow;2;43.01;ACC0179;completed;Y
H105705;17/08/2023;Leeds Depot;North;HD-BRK;Hydraulic Breaker;2;60.05;ACC0011;completed;N
H105706;23/08/2024;Bristol Depot;South West;SC-22;Scissor Lift 22ft;2;74.32;ACC0102;completed;N
H105707;12/11/2024;Bristol Depot;South West;PB-15;Powered Barrow;2;39.04;ACC0109;completed;Y
H105708;22/07/2023;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;1;52.83;;completed;Y
H105709;16/09/2024;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;21.42;ACC0238;completed;Y
H105710;19/04/2023;Bristol Depot;South West;TL-01;Telehandler 4m;5;193.77;ACC0077;completed;Y
H105711;10/06/2023;Bristol Depot;South West;PB-15;Powered Barrow;2;39.29;ACC0223;open;Y
H105712;11/05/2023;Norwich Depot;East;PB-15;Powered Barrow;2;43.29;;completed;N
H105713;30/09/2023;Glasgow Depot;Scotland;PB-15;Powered Barrow;2;41.52;ACC0202;completed;Y
H105714;16/09/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;2;77.46;ACC0088;completed;Y
H105715;24/05/2024;Norwich Depot;East;SF-TOW;Site Tower Light;3;49.89;;completed;Y
H105716;26/10/2024;Bristol Depot;South West;DM-09;Diesel Dumper 9T;2;144.28;ACC0085;completed;Y
H105717;04/12/2023;Leeds Depot;North;TL-01;Telehandler 4m;3;180.14;ACC0189;completed;Y
H105718;28/09/2023;Leeds Depot;North;CM-350;Concrete Mixer 350L;1;31.73;ACC0099;completed;Y
H105719;07/12/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;7;21.23;ACC0075;completed;Y
H105720;03/11/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;2;65.98;ACC0195;completed;Y
H105721;11/12/2024;Bristol Depot;South West;CM-350;Concrete Mixer 350L;-14;33.69;ACC0040;cancelled;Y
H105722;11/02/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;1;83.7;ACC0113;completed;Y
H105723;09/11/2024;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;2;61.81;ACC0243;completed;Y
H105724;08/05/2023;Norwich Depot;East;SF-TOW;Site Tower Light;-3;51.13;ACC0035;cancelled;Y
H105725;25/03/2024;Norwich Depot;East;GEN-60;60kVA Generator;3;90.27;;completed;N
H105726;08/06/2024;Norwich Depot;East;PB-15;Powered Barrow;3;44.04;ACC0143;open;Y
H105727;18/12/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;-1;82.66;ACC0121;cancelled;N
H105728;03/05/2023;Glasgow Depot;Scotland;WP-02;Water Pump 2in;1;21.57;;completed;Y
H105729;26/06/2023;Norwich Depot;East;CM-350;Concrete Mixer 350L;2;36.03;ACC0083;completed;Y
H105730;12/09/2023;Glasgow Depot;Scotland;TL-01;Telehandler 4m;3;174.69;ACC0108;completed;Y
H105731;07/05/2024;Norwich Depot;East;WP-02;Water Pump 2in;28;22.78;ACC0172;completed;Y
H105732;14/07/2023;Norwich Depot;East;SC-22;Scissor Lift 22ft;1;75.14;ACC0220;completed;Y
H105733;01/07/2024;Norwich Depot;East;EX-140;13T Excavator;-1;305.14;ACC0218;cancelled;Y
H105734;25/05/2024;Cardiff Depot;Wales;SC-22;Scissor Lift 22ft;1;84.49;ACC0070;completed;Y
H105735;15/07/2024;Cardiff Depot;Wales;GEN-60;60kVA Generator;-3;98.75;ACC0213;cancelled;Y
H105736;20/10/2024;Cardiff Depot;Wales;CM-350;Concrete Mixer 350L;-2;34.2;;cancelled;Y
H105737;25/12/2023;Cardiff Depot;Wales;GEN-60;60kVA Generator;1;94.21;ACC0201;completed;Y
H105738;18/08/2023;Glasgow Depot;Scotland;EX-140;13T Excavator;1;317.75;ACC0113;completed;Y
H105739;24/08/2024;Norwich Depot;East;GEN-60;60kVA Generator;2;95.18;ACC0198;completed;Y
H105740;12/11/2023;Bristol Depot;South West;SC-22;Scissor Lift 22ft;2;79.41;ACC0097;completed;N
H105741;20/05/2023;Leeds Depot;North;GEN-60;60kVA Generator;-1;95.37;ACC0222;cancelled;Y
H105742;22/08/2023;Norwich Depot;East;PB-15;Powered Barrow;7;43.86;;completed;Y
H105743;10/06/2024;Glasgow Depot;Scotland;SC-22;Scissor Lift 22ft;5;77.79;;completed;Y
H105744;03/09/2023;Bristol Depot;South West;HD-BRK;Hydraulic Breaker;-14;65.18;ACC0130;cancelled;N
H105745;29/03/2024;Glasgow Depot;Scotland;SF-TOW;Site Tower Light;7;50.45;ACC0004;completed;Y
H105746;14/05/2023;Glasgow Depot;Scotland;CM-350;Concrete Mixer 350L;1;33.25;ACC0158;completed;Y
